"Date","RegionID","RegionName","State","Metro","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2017-04-30,3164,"Hampton City","VA","Virginia Beach",402,159500,0.0044080604534005,0.017219387755102,0.043848167539267,0.00928113757251792,-0.0102446848322254,"2007-11","2007-Q4",180000,-0.113888888888889,"2005-12"
2017-04-30,2266,"Florence","SC","Florence",403,117700,-0.00254237288135593,-0.00338696020321761,0.00426621160409556,0.0225148366751158,0.00873131166529117,"2016-12","2016-Q4",118600,-0.0075885328836425,"2016-10"
2017-04-30,1930,"Midland","TX","Midland",404,191500,0.000522466039707419,0.00366876310272537,0.00948866631523458,0.053884958923119,0.0444188687799427,"2017-04","2017-Q2",191500,0,"2017-04"
2017-04-30,2923,"Dorchester","SC","Charleston",405,182100,-0.00816993464052288,-0.00273822562979189,0.0423583285632513,0.0429049233009935,0.00537230013574663,"2017-02","2017-Q1",183900,-0.00978792822185971,"2017-01"
2017-04-30,255,"Napa","CA","Napa",406,594900,0.00813421453990849,0.0221649484536082,0.0519893899204244,0.112433213053307,-0.00103626129517576,"2006-02","2006-Q1",621600,-0.042953667953668,"2005-06"
2017-04-30,1575,"Calhoun","MI","Battle Creek",407,101100,0.00797607178464606,0.0305810397553517,0.104918032786885,0.0629650286920467,-0.00500295923365979,"2006-06","2006-Q2",109100,-0.073327222731439,"2003-12"
2017-04-30,2572,"Tazewell","IL","Peoria",408,120500,0.000830564784053156,-0.00495458298926507,-0.0106732348111658,0.0083373228360486,0.00252432268545655,"2016-07","2016-Q3",122000,-0.0122950819672131,"2016-01"
2017-04-30,2351,"Humboldt","CA","Eureka",409,284900,0.00387596899224806,0.00778210116731518,0.0726656626506024,0.0425655333620638,-0.00891820205810145,"2007-11","2007-Q4",324700,-0.122574684323991,"2005-06"
2017-04-30,2207,"Coconino","AZ","Flagstaff",410,330800,0.00638880438089443,0.0241486068111455,0.0913889805344771,0.0734407354584237,-0.00519886558137839,"2007-01","2007-Q1",352900,-0.0626239727968263,"2006-02"
2017-04-30,1289,"Orange","NC","Durham",411,272300,0.00147112909157779,0.0130208333333333,0.0699410609037328,0.033982130654669,0.00926936765866015,"2017-04","2017-Q2",272300,0,"2017-04"
2017-04-30,1854,"Lebanon","PA","Lebanon",412,162100,0.00309405940594059,0.0143929912390488,0.0498704663212435,0.00731385479798607,0.00281929188127372,"2008-05","2008-Q2",163900,-0.0109823062843197,"2007-10"
2017-04-30,1671,"Douglas","GA","Atlanta",413,138400,0.0087463556851312,0.0214022140221402,0.0906225374310481,0.0716937048447654,-0.00761875200187478,"2006-10","2006-Q4",152900,-0.0948332243296272,"2003-07"
2017-04-30,3077,"Washington","WI","Milwaukee",414,233300,0.00821089023336214,0.0286596119929453,0.0866325104797392,0.0447900559591505,0.00675989623256235,"2003-07","2003-Q3",262300,-0.110560426991994,
2017-04-30,1901,"Madison","IN","Indianapolis",415,76200,0.00660501981505945,0.0228187919463087,-0.00261780104712042,0.0125311426974131,-0.00839194928964238,"2005-03","2005-Q1",96800,-0.212809917355372,"2001-01"
